"media href","img-fit src","media","product-label 2","product-brand-logo src","card-link","price__current","price__was","price__was 2","price__adviesprijs-badge","price__adviesprijs-amount","price__adviesprijs-amount 2"
"https://justpadel.com/en/collections/padel-rackets/products/siux-pegasus-pro-26-storm-grey","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/Bjorn_Borg_W_Essential_1_Sweatshirt_Sea_Pine_89.jpg?v=1762255792&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt="""">","NEW ARRIVAL","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/siux-new.svg?v=1762266059","Siux Pegasus Pro 26 Storm Gray","€349","","","","",""
"https://justpadel.com/en/collections/padel-rackets/products/nox-vk10","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/nox-vk10-5694048.jpg?v=1758194492&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""NOX Vk10 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/nox.svg?v=1751631714","NOX Vk10","€169","","","List price:","€244","95"
"https://justpadel.com/en/collections/padel-rackets/products/drop-shot-padelracket-okaido","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/DropShotOkaido_1.jpg?v=1762853107&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt="""">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/drop-shot.svg?v=1751631714","Drop Shot Okaido","€89","","","List price:","€179","95"
"https://justpadel.com/en/collections/padel-rackets/products/bullpadel-neuron-cloud-25","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/bullpadel-neuron-cloud-25-7965296.jpg?v=1759832777&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Bullpadel NEURON Cloud 25 - "">","Sale","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/bullpadel.svg?v=1751631714","Bullpadel NEURON Cloud 25","€194","","","List price:","€277","95"
"https://justpadel.com/en/collections/padel-rackets/products/head-extreme-team-2025","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/head-extreme-team-2025-4303871.jpg?v=1759832489&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""HEAD Extreme Team 2025 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/Head_1.svg?v=1751637900","HEAD Extreme Team 2025","€154","","","List price:","€199","95"
"https://justpadel.com/en/collections/padel-rackets/products/adidas-cross-it-team-light-3-4","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/adidas-cross-it-team-light-34-8100944.jpg?v=1758195275&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Adidas Cross It Team Light 3.4 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/adidas.svg?v=1751631714","Adidas Cross It Team Light 3.4","€149","","","List price:","€179","95"
"https://justpadel.com/en/collections/padel-rackets/products/bullpadel-xplo-24-tour-final","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/bullpadel-xplo-24-tour-final-1995005.png?v=1758194784&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Bullpadel XPLO 24 Tour Final - "">","Sale","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/bullpadel.svg?v=1751631714","Bullpadel XPLO 24 Tour Final","€209","€229","95","","",""
"https://justpadel.com/en/collections/padel-rackets/products/indian-maharadja-platinum-dx6-418","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/the-indian-maharadja-platinum-dx6-418-6954589.jpg?v=1758195119&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""The Indian Maharadja Platinum DX6 - 418 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/indian-maharadja.svg?v=1751631714","The Indian Maharadja Platinum DX6-418","€139","","","","",""
"https://justpadel.com/en/collections/padel-rackets/products/drop-shot-essence-1-0","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/drop-shot-essence-10-3839681.jpg?v=1758193457&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Drop Shot Essence 1.0 - "">","Sale","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/drop-shot.svg?v=1751631714","Drop Shot Essence 1.0","€109","€159","95","","",""
"https://justpadel.com/en/collections/padel-rackets/products/adidas-adipower-carbon-light-3-4","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/AdidasAdipowerCarbonLight3.4_1.jpg?v=1762851246&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt="""">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/adidas.svg?v=1751631714","Adidas Adipower Carbon Light 3.4","€199","","","List price:","€299","95"
"https://justpadel.com/en/collections/padel-rackets/products/bullpadel-pearl-26","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/bullpadel-pearl-26-8845594.jpg?v=1759836389&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Bullpadel Pearl 26 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/bullpadel.svg?v=1751631714","Bullpadel Pearl 26","€279","","","List price:","€310","00"
"https://justpadel.com/en/collections/padel-rackets/products/bullpadel-icon-26","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201200%201200'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/bullpadel-icon-26-7092127.png?v=1758193360&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""1200"" height=""1200"" alt=""Bullpadel ICON 26 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/bullpadel.svg?v=1751631714","Bullpadel ICON 26","€279","","","List price:","€310","00"
"https://justpadel.com/en/collections/padel-rackets/products/bullpadel-xplo-comfort","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20800%20800'%3E%3C/svg%3E","<img src=""//justpadel.com/cdn/shop/files/bullpadel-xplo-comfort-26-6355483.jpg?v=1758193346&amp;width=460"" loading=""lazy"" class=""img-fit img-fit--contain card__main-image"" width=""800"" height=""800"" alt=""Bullpadel XPLO Comfort 26 - "">","","https://cdn.shopify.com/s/files/1/0510/3730/7050/files/bullpadel.svg?v=1751631714","Bullpadel XPLO Comfort 26","€239","","","List price:","€260","00"
