"product-link href","comingSoonBadge2","inline-image__image src","comingSoonBadge2 2","background-image__image src","background-image__image src 2","image-page-button href","quick-action-button href","product-block__title","money","product-label","money 2","money 3","product-label 2"
"https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-jr-by-agustin-tapia","","https://noxsport.com/cdn/shop/files/at10-genius-jr-by-agustin-tapia-pat10jr25-8435778900641-981079.png?v=1739867772&width=1200","","","","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-jr-by-agustin-tapia","AT10 GENIUS JR by Agustín Tapia","15,04 €","off","64,95 €","79,99 €","7 in stock"
"https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-ultralight-by-agustin-tapia","","https://noxsport.com/cdn/shop/files/at10-genius-ultra-light-by-agustin-tapia-patultlig25-8435778900634-228103.png?v=1746840553&width=1200","","","","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-genius-ultralight-by-agustin-tapia","AT10 Genius Ultra Light by Agustín Tapia","15,04 €","off","64,95 €","79,99 €",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/padel-racket-x-one","","https://noxsport.com/cdn/shop/files/pala-x-one-pxone25-8435778900627-627426.jpg?v=1739034199&width=1200","","","","https://noxsport.com/en/collections/all-the-rackets-nox#","","X-ONE 2025","15,04 €","off","64,95 €","79,99 €","Sold Out"
"https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-x-one-silhouette","","https://noxsport.com/cdn/shop/files/pala-x-one-silhouette-psilhouet25-8435778900610-573630.jpg?v=1739034199&width=1200","","","","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-x-one-silhouette","X-ONE SILHOUETTE","15,05 €","off","64,94 €","79,99 €","3 in stock"
"https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-equation-light-w-advanced-series","","https://noxsport.com/cdn/shop/files/equation-light-w-advanced-2025-pequliadv25-8436603199988-485116.jpg?v=1727176157&width=2000","","","","https://noxsport.com/en/collections/all-the-rackets-nox#","","EQUATION Light W Advanced 2025","20,00 €","off","99,99 €","119,99 €","Sold Out"
"https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-ml10-pro-cup-silver-by-miguel-lamperti","","https://noxsport.com/cdn/shop/files/pala-ml10-pro-cup-silver-by-miguel-lamperti-pml10prcusil25-8435778900580-786862.jpg?v=1733338491&width=1200","","","","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-ml10-pro-cup-silver-by-miguel-lamperti","ML10 PRO CUP SILVER. Miguel Lamperti's racket","25,00 €","off","124,99 €","149,99 €",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-ml10-pro-cup-coorp-by-miguel-lamperti","","https://noxsport.com/cdn/shop/files/pala-ml10-pro-cup-coorp-by-miguel-lamperti-pml10pcoor25-8435778900566-416363.jpg?v=1733338490&width=1200","","","","https://noxsport.com/en/collections/all-the-rackets-nox#","https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-ml10-pro-cup-coorp-by-miguel-lamperti","ML10 PRO CUP COORP. Miguel Lamperti's Racket","25,00 €","off","124,99 €","149,99 €",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-ml10-pro-cup-rough-surface-edition-by-miguel-lamperti","","https://noxsport.com/cdn/shop/files/pala-ml10-pro-cup-rough-surface-edition-by-miguel-lamperti-pml10rough25-8435778900573-713253.jpg?v=1733338491&width=1200","","","","https://noxsport.com/en/collections/all-the-rackets-nox?page=2#","https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-ml10-pro-cup-rough-surface-edition-by-miguel-lamperti","ML10 PRO CUP ROUGH SURFACE EDITION. Miguel Lamperti's racket","25,00 €","off","124,99 €","149,99 €",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-at10-pro-cup-hard-by-agustin-tapia","","https://noxsport.com/cdn/shop/files/at10-pro-cup-hard-por-agustin-tapia-pat10pch25-8436603199896-427836.jpg?v=1727176104&width=2000","","","","https://noxsport.com/en/collections/all-the-rackets-nox?page=2#","https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-at10-pro-cup-hard-by-agustin-tapia","AT10 Pro Cup HARD by Agustin Tapia","29,04 €","off","145,95 €","174,99 €",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-nextgen-pro-hybrid-3k-nfa-series","","https://noxsport.com/cdn/shop/files/nextgen-pro-hybrid-3k-pnfanghyb-8435778900603-968018.png?v=1739619135&width=1200","","","","https://noxsport.com/en/collections/all-the-rackets-nox?page=2#","https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-nextgen-pro-hybrid-3k-nfa-series","NextGen Pro Hybrid 3K","75,00 €","off","124,99 €","199,99 €","New in"
"https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-nextgen-pro-attack-3k-nfa-series","","https://noxsport.com/cdn/shop/files/nextgen-pro-attack-3k-pnfangatt-8435778900597-570251.png?v=1739619138&width=1200","","","","https://noxsport.com/en/collections/all-the-rackets-nox?page=2#","https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-nextgen-pro-attack-3k-nfa-series","NextGen Pro Attack 3K","75,00 €","off","124,99 €","199,99 €","New in"
"https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-vk10-quantum-3k-by-aranzazu-osoro","","https://noxsport.com/cdn/shop/files/vk10-quantum-3k-la-pala-de-aranzazu-osoro-pvk10luxq25-8435778900481-502589.jpg?v=1727176227&width=2000","","","","https://noxsport.com/en/collections/all-the-rackets-nox?page=2#","https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-vk10-quantum-3k-by-aranzazu-osoro","VK10 QUANTUM 3K. Aranzazu Osoro's padel racket","160,00 €","off","179,99 €","339,99 €",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/racket-ml10-quantum-3k-by-miguel-lamperti","","https://noxsport.com/cdn/shop/files/ml10-quantum-3k-la-pala-de-miguel-lamperti-pml10luxq25-8436603199957-344951.png?v=1749703965&width=1200","","https://noxsport.com/cdn/shop/files/ml10-quantum-3k-la-pala-de-miguel-lamperti-pml10luxq25-8436603199957-111646.jpg?v=1749643350","","https://noxsport.com/en/collections/all-the-rackets-nox?page=2#","","ML10 QUANTUM 3K. Miguel Lamperti's padel racket","160,00 €","off","179,99 €","339,99 €","Sold Out"
"https://noxsport.com/en/collections/all-the-rackets-nox/products/pack-at-genius-limited-edition","","https://noxsport.com/cdn/shop/files/pack-at-genius-ltd-2025-agustin-tapia-limited-edition-packpatltd25-8435778900320-197481.jpg?v=1733338507&width=1200","","https://noxsport.com/cdn/shop/files/pack-at-genius-ltd-2025-agustin-tapia-limited-edition-packpatltd25-8435778900320-609681.jpg?v=1733338507","","https://noxsport.com/en/collections/all-the-rackets-nox?page=2#","","Pack AT10 Genius LTD 2025 - Agustin Tapia LIMITED EDITION","75,00 €","off","374,99 €","449,99 €","Sold Out"
"https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-luxury-gold-l5-nox","","https://noxsport.com/cdn/shop/files/at10-luxury-gold-l5-la-pala-de-agustin-tapia-pexat10luxl5-8436603199834-588714.jpg?v=1722456082&width=2000","","https://noxsport.com/cdn/shop/files/at10-luxury-gold-l5-la-pala-de-agustin-tapia-pexat10luxl5-8436603199834-309952.jpg?v=1722456082","","https://noxsport.com/en/collections/all-the-rackets-nox?page=2#","https://noxsport.com/en/collections/all-the-rackets-nox/products/pala-at10-luxury-gold-l5-nox","AT10 Luxury GOLD L.5 by Agustín Tapia","130,00 €","off","149,95 €","279,95 €",""
"https://noxsport.com/en/collections/all-the-rackets-nox/products/at-luxury-blue-18k","","https://noxsport.com/cdn/shop/products/at-luxury-blue-18k-pexatblue18k-8436603195799-321815.jpg?v=1696156658&width=2000","","https://noxsport.com/cdn/shop/products/at-luxury-blue-18k-pexatblue18k-8436603195799-282502.jpg?v=1696156658","","https://noxsport.com/en/collections/all-the-rackets-nox?page=2#","https://noxsport.com/en/collections/all-the-rackets-nox/products/at-luxury-blue-18k","AT Luxury BLUE 18K by Agustín Tapia","175,05 €","off","149,95 €","325,00 €",""
