"thumbnail href","img-fluid src","img-fluid src 2","product-category-name","h3","product-reference","product-price","product-description-short","product-brand","product-flag 2","regular-price"
"https://allforpadel.com/en/padel-rackets/7334-adidas-metalbone-team-34-racket-8435739402795.html","https://allforpadel.com/6797-home_default/adidas-metalbone-team-34-racket.jpg","https://allforpadel.com/6796-home_default/adidas-metalbone-team-34-racket.jpg","Padel rackets","adidas Metalbone Team 3.4 Racket","AR2AA0U42","€200.00","Metalbone opens the door to high-level play with a well-balanced racquet, designed for offensive performance.","","",""
"https://allforpadel.com/en/padel-rackets/7333-adidas-cross-it-carbon-ctrl-racket-8435739402894.html","https://allforpadel.com/6653-home_default/adidas-cross-it-carbon-ctrl-racket.jpg","https://allforpadel.com/6656-home_default/adidas-cross-it-carbon-ctrl-racket.jpg","Padel rackets","adidas Cross IT Carbon CTRL 3.4 Racket","AR1CA7U12","€280.00","Step into the future of padel with a racquet designed for players who demand unmatched control on the court.","","",""
"https://allforpadel.com/en/padel-rackets/7328-adidas-adipower-multiweight-ctrl-34-racket-alex-ruiz-8435739402825.html","https://allforpadel.com/7872-home_default/adidas-adipower-multiweight-ctrl-34-racket-alex-ruiz.jpg","https://allforpadel.com/6617-home_default/adidas-adipower-multiweight-ctrl-34-racket-alex-ruiz.jpg","Padel rackets","adidas Adipower Multiweight Ctrl 3.4 Racket - Álex Ruiz","AR1CA2U31","€400.00","Álex Ruiz's 2025 racquet emerges as the leader of a new generation. Make your mark on the court. It is part of the Best 25 Guide, which brings together the best blades of the year in the HYBRID category.","","",""
"https://allforpadel.com/en/padel-rackets/7336-adidas-metalbone-team-light-34-racket-8435739402801.html","https://allforpadel.com/6786-home_default/adidas-metalbone-team-light-34-racket.jpg","https://allforpadel.com/6793-home_default/adidas-metalbone-team-light-34-racket.jpg","Padel rackets","adidas Metalbone Team Light 3.4 Racket","AR2CA0U45","€200.00","Lightweight design meets top performance for an unmatched combination.","","",""
"https://allforpadel.com/en/padel-rackets/7337-adidas-cross-it-team-light-racket-8435739402917.html","https://allforpadel.com/6674-home_default/adidas-cross-it-team-light-racket.jpg","https://allforpadel.com/6670-home_default/adidas-cross-it-team-light-racket.jpg","Padel rackets","adidas Cross IT Team Light 3.4 Racket","AR2CA1U11","€180.00","A featherlight design combined with advanced features for unbeatable performance on the court.","","",""
"https://allforpadel.com/en/padel-rackets/7339-adidas-rx-series-red-34-racket-8435739402948.html","https://allforpadel.com/7873-home_default/adidas-rx-series-red-34-racket.jpg","https://allforpadel.com/6686-home_default/adidas-rx-series-red-34-racket.jpg","Padel rackets","adidas RX Series Red 3.4 Racket","AR3CA2U16","€120.00","The ideal racquet for taking your game to new heights and progressing with confidence on the court.  It is part of the Best 25 Guide, which gathers the best padel rackets of the year in the category of initiation.","","",""
"https://allforpadel.com/en/padel-rackets/7288-adidas-rx-lime-34-racket-8435739402924.html","https://allforpadel.com/6690-home_default/adidas-rx-lime-34-racket.jpg","https://allforpadel.com/6692-home_default/adidas-rx-lime-34-racket.jpg","Padel rackets","adidas RX Lime 3.4 Racket","AR3CA0U29","€120.00","This racquet sets the stage for success, perfect for every style of play and ready to level up your game.","","",""
"https://allforpadel.com/en/padel-rackets/7338-adidas-rx-series-light-34-racket-8435739402931.html","https://allforpadel.com/6679-home_default/adidas-rx-series-light-34-racket.jpg","https://allforpadel.com/6676-home_default/adidas-rx-series-light-34-racket.jpg","Padel rackets","adidas RX Series Light 3.4 Racket","AR3CA1U11","€120.00","Lightweight and agile, this racquet is your perfect ally for mastering every aspect of your padel game.","","",""
"https://allforpadel.com/en/padel-rackets/7342-adidas-drive-black-34-racket-8435739402955.html","https://allforpadel.com/6698-home_default/adidas-drive-black-34-racket.jpg","https://allforpadel.com/6699-home_default/adidas-drive-black-34-racket.jpg","Padel rackets","adidas Drive Black 3.4 Racket","AR5CA0U10","€80.00","Everything a beginner needs for a smooth and confident start in padel, perfectly combined in this racquet.","","",""
"https://allforpadel.com/en/padel-rackets/7343-adidas-drive-grey-34-racket-8435739402962.html","https://allforpadel.com/6708-home_default/adidas-drive-grey-34-racket.jpg","https://allforpadel.com/6707-home_default/adidas-drive-grey-34-racket.jpg","Padel rackets","adidas Drive Grey 3.4 Racket","AR5CA1U18","€80.00","Ideal for newcomers, this racquet combines comfort, balance, and easy handling for a smooth start in padel.","","",""
"https://allforpadel.com/en/padel-rackets/7340-adidas-metalbone-youth-34-racket-8435739402818.html","https://allforpadel.com/6784-home_default/adidas-metalbone-youth-34-racket.jpg","https://allforpadel.com/6782-home_default/adidas-metalbone-youth-34-racket.jpg","Padel rackets","adidas Metalbone Youth 3.4 Racket","AR4AA0U22","€115.00","This racquet is designed to be the ideal companion for young players, helping them grow with every match.","","",""
"https://allforpadel.com/en/padel-rackets/7347-adidas-match-blue-34-racket-8435739403006.html","https://allforpadel.com/6737-home_default/adidas-match-blue-34-racket.jpg","https://allforpadel.com/6734-home_default/adidas-match-blue-34-racket.jpg","Padel rackets","adidas Match Blue 3.4 Racket","AR5GA2U12","€75.00","Shape your style with a design that combines powerful shots with precise control.","","",""
"https://allforpadel.com/en/padel-rackets/7346-adidas-match-light-34-racket-8435739403006.html","https://allforpadel.com/6729-home_default/adidas-match-light-34-racket.jpg","https://allforpadel.com/6725-home_default/adidas-match-light-34-racket.jpg","Padel rackets","adidas Match Light 3.4 Racket","AR5GA1U11","€75.00","Designed for smooth handling, this racquet offers lightweight comfort paired with standout features.","","",""
"https://allforpadel.com/en/padel-rackets/7341-adidas-adipower-junior-34-racket-8435739402856.html","https://allforpadel.com/6596-home_default/adidas-adipower-junior-34-racket.jpg","https://allforpadel.com/6595-home_default/adidas-adipower-junior-34-racket.jpg","Padel rackets","adidas Adipower Junior 3.4 Racket","AR4CA0U31","€75.00","Young players will find in this model the perfect tool to progress appropriately in the world of padel.","","",""
"https://allforpadel.com/en/padel-rackets/7191-adidas-metalbone-33-8436548248864.html","https://allforpadel.com/5395-home_default/adidas-metalbone-33.jpg","https://allforpadel.com/6121-home_default/adidas-metalbone-33.jpg","Padel rackets","Adidas Metalbone 3.3 Racket","ADRK1AA0U0016F","€239.40","A racket in which the power reaches exceptional levels for top level players.","adidas","-37%","€380.00"
"https://allforpadel.com/en/padel-rackets/7344-adidas-drive-light-34-racket-8435739402979.html","https://allforpadel.com/6715-home_default/adidas-drive-light-34-racket.jpg","https://allforpadel.com/6714-home_default/adidas-drive-light-34-racket.jpg","Padel rackets","adidas Drive Light 3.4 Racket","AR5CA2U15","€80.00","A lightweight companion that combines comfort and precision for smooth shots on the court.","","",""
"https://allforpadel.com/en/padel-rackets/7345-adidas-match-black-34-racket-8435739402986.html","https://allforpadel.com/6722-home_default/adidas-match-black-34-racket.jpg","https://allforpadel.com/6719-home_default/adidas-match-black-34-racket.jpg","Padel rackets","adidas Match Black 3.4 Racket","AR5GA0U10","€75.00","Refine your game with the perfect blend of control and power in every swing.","","",""
"https://allforpadel.com/en/padel-rackets/7199-adidas-adipower-light-33-mafalda-fernandes-8436548248925.html","https://allforpadel.com/5467-home_default/adidas-adipower-light-33-mafalda-fernandes.jpg","https://allforpadel.com/5464-home_default/adidas-adipower-light-33-mafalda-fernandes.jpg","Padel rackets","Adidas Adipower Light 3.3 Racket - Mafalda Fernandes","ADRK1CA3U0015F","€149.60","A lightweight racket of a different level. Free your arm and achieve perfection.","adidas","-32%","€220.00"
"https://allforpadel.com/en/padel-rackets/7195-adidas-cross-it-8436548249106.html","https://allforpadel.com/5441-home_default/adidas-cross-it.jpg","https://allforpadel.com/5442-home_default/adidas-cross-it.jpg","Padel rackets","Adidas Cross It 3.3 Racket","ADRK1AA4U0063F","€210.00","A new way of understanding padel, a new way of dominating the court. A racket for players who make the difference.","adidas","-40%","€350.00"
"https://allforpadel.com/en/padel-rackets/7201-adidas-cross-it-ctrl-8436548249113.html","https://allforpadel.com/5472-home_default/adidas-cross-it-ctrl.jpg","https://allforpadel.com/6126-home_default/adidas-cross-it-ctrl.jpg","Padel rackets","Adidas Cross It Ctrl 3.3 Racket","ADRK1CA5U0063F","€210.00","A new way of understanding padel, a new way of controlling the court. A racket for players who make the difference from control.","adidas","-40%","€350.00"
"https://allforpadel.com/en/padel-rackets/7200-adidas-metalbone-carbon-ctrl-8436548248949.html","https://allforpadel.com/5432-home_default/adidas-metalbone-carbon-ctrl.jpg","https://allforpadel.com/6128-home_default/adidas-metalbone-carbon-ctrl.jpg","Padel rackets","Adidas Metalbone Carbon Ctrl 3.3 Racket","ADRK1CA4U0034F","€189.80","Precision and power at the highest level. Play the shots you are looking for, whatever they are, with this racket that makes a huge difference.","adidas","-27%","€260.00"
"https://allforpadel.com/en/padel-rackets/7194-adidas-metalbone-carbon-33-8436548248932.html","https://allforpadel.com/5418-home_default/adidas-metalbone-carbon-33.jpg","https://allforpadel.com/5421-home_default/adidas-metalbone-carbon-33.jpg","Padel rackets","Adidas Metalbone Carbon 3.3 Racket","ADRK1AA3U0017F","€189.80","Shine on court with this racket that brings together the best capabilities to bring out your full potential thanks to the most outstanding technologies.","adidas","-27%","€260.00"
"https://allforpadel.com/en/padel-rackets/7193-adidas-adipower-multiweight-33-8436548248895.html","https://allforpadel.com/5411-home_default/adidas-adipower-multiweight-33.jpg","https://allforpadel.com/5408-home_default/adidas-adipower-multiweight-33.jpg","Padel rackets","Adidas Adipower Multiweight 3.3 Racket","ADRK1AA2U0014F","€220.00","Dominate your game with a racket that can do everything and adapts to any situation on the padel court.","adidas","-45%","€400.00"
"https://allforpadel.com/en/padel-rackets/7196-adidas-metalbone-ctrl-33-8436548248871.html","https://allforpadel.com/5448-home_default/adidas-metalbone-ctrl-33.jpg","https://allforpadel.com/6129-home_default/adidas-metalbone-ctrl-33.jpg","Padel rackets","Adidas Metalbone Ctrl 3.3 Racket","ADRK1CA0U0012F","€239.40","A racket designed to reach the highest levels for a controlled style. Technology and handling are at the heart of this racket designed for the best players.","adidas","-37%","€380.00"
"https://allforpadel.com/en/padel-rackets/7207-adidas-rx-series-red-8436548248994.html","https://allforpadel.com/5513-home_default/adidas-rx-series-red.jpg","https://allforpadel.com/5511-home_default/adidas-rx-series-red.jpg","Padel rackets","adidas Rx Series Red 3.3 Racket","ADRK3CA0U0012F","€85.20","The racket with everything you need to improve and bring out your best in every match is right in front of you","adidas","-29%","€120.00"
"https://allforpadel.com/en/padel-rackets/7197-adidas-adipower-multiweight-ctrl-33-alex-ruiz-8436548248901.html","https://allforpadel.com/5455-home_default/adidas-adipower-multiweight-ctrl-33-alex-ruiz.jpg","https://allforpadel.com/6123-home_default/adidas-adipower-multiweight-ctrl-33-alex-ruiz.jpg","Padel rackets","Adidas Adipower Multiweight Ctrl 3.3 Racket  - Álex Ruiz","ADRK1CA1U0017F","€240.00","A racket for legendary players. Everything about it reaches the highest levels of performance.","adidas","-40%","€400.00"
"https://allforpadel.com/en/padel-rackets/7206-adidas-adipower-team-light-33-8436548248987.html","https://allforpadel.com/5505-home_default/adidas-adipower-team-light-33.jpg","https://allforpadel.com/5503-home_default/adidas-adipower-team-light-33.jpg","Padel rackets","Adidas Adipower Team Light 3.3 Racket","ADRK2CA2U0015F","€129.60","A racket for players looking for a lightweight option with the best performance.","adidas","-28%","€180.00"
"https://allforpadel.com/en/padel-rackets/7204-adidas-metalbone-team-light-8436548248963.html","https://allforpadel.com/5498-home_default/adidas-metalbone-team-light.jpg","https://allforpadel.com/5496-home_default/adidas-metalbone-team-light.jpg","Padel rackets","Adidas Metalbone Team Light 3.3 Racket","ADRK2CA0U0012F","€140.00","A lightweight option to fly around the court and always execute the most effective shots.","adidas","-30%","€200.00"
"https://allforpadel.com/en/padel-rackets/7203-adidas-metalbone-team-33-8436548248956.html","https://allforpadel.com/5491-home_default/adidas-metalbone-team-33.jpg","https://allforpadel.com/5489-home_default/adidas-metalbone-team-33.jpg","Padel rackets","Adidas Metalbone Team 3.3 Racket","ADRK2AA0U0016F","€140.00","A racket for all strokes and all styles. Outstanding in both attacking and control play.","adidas","-30%","€200.00"
"https://allforpadel.com/en/padel-rackets/7198-adidas-racket-adipower-ctrl-33-8436548248918.html","https://allforpadel.com/5375-home_default/adidas-racket-adipower-ctrl-33.jpg","https://allforpadel.com/5376-home_default/adidas-racket-adipower-ctrl-33.jpg","Padel rackets","Adidas Adipower Ctrl 3.3 Racket","ADRK1CA2U0017F","€170.80","Discover the racket where control is all-pervasive. Every detail enhances precision play without losing sight of the attacking style.","adidas","-39%","€280.00"
